run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
"04/09/2012 14:30","2007Q1","02/01/2007","22/12/2006","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","16/10/2006","British Airways plc","Mishandled baggage"
"04/09/2012 14:30","2007Q1","02/01/2007","12/11/2006","Ryanair","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","","Air China","In-flight Services"
"04/09/2012 14:30","2007Q1","02/01/2007","03/09/2006","LOT Polish Airlines","Mishandled baggage"
"04/09/2012 14:30","2007Q1","02/01/2007","","Qatar Airways","Seating"
"04/09/2012 14:30","2007Q1","02/01/2007","13/11/2006","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","","Thomas Cook Airlines","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","22/09/2006","Royal Brunei Airlines","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","","British Airways plc","Seating"
"04/09/2012 14:30","2007Q1","02/01/2007","20/08/2006","Excel Airways","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","30/10/2006","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","01/12/2006","Air France","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","05/12/2006","Flybe","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","","EasyJet","Special Needs"
"04/09/2012 14:30","2007Q1","02/01/2007","26/11/2006","BMI","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","08/10/2006","EasyJet","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","15/12/2006","British Airways plc","Mishandled baggage"
"04/09/2012 14:30","2007Q1","02/01/2007","","Other","Other"
"04/09/2012 14:30","2007Q1","02/01/2007","","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","27/07/2006","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","","Monarch Airlines Limited","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","","Iberia","Reservation Issues"
"04/09/2012 14:30","2007Q1","02/01/2007","","Excel Airways","Seating"
"04/09/2012 14:30","2007Q1","02/01/2007","","EasyJet","Fares"
"04/09/2012 14:30","2007Q1","02/01/2007","13/08/2006","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q1","02/01/2007","10/08/2006","Monarch Airlines Limited","Delays"
"04/09/2012 14:30","2007Q1","02/01/2007","22/09/2006","British Airways plc","Delays"
