Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2007Q1,Baggage Allowance,37
04/09/2012 14:30,2007Q1,Cancellations,562
04/09/2012 14:30,2007Q1,Check-in problems,18
04/09/2012 14:30,2007Q1,Delays,223
04/09/2012 14:30,2007Q1,Denied Boarding,57
04/09/2012 14:30,2007Q1,Diverted Flight,30
04/09/2012 14:30,2007Q1,Documents,14
04/09/2012 14:30,2007Q1,Fares,7
04/09/2012 14:30,2007Q1,Ground Services,23
04/09/2012 14:30,2007Q1,In-flight Services,12
04/09/2012 14:30,2007Q1,Mishandled baggage,188
04/09/2012 14:30,2007Q1,Missed connections,21
04/09/2012 14:30,2007Q1,Missed departure,0
04/09/2012 14:30,2007Q1,Other,33
04/09/2012 14:30,2007Q1,Reservation Issues,82
04/09/2012 14:30,2007Q1,Schedule Changes,23
04/09/2012 14:30,2007Q1,Seating,26
04/09/2012 14:30,2007Q1,Security,12
04/09/2012 14:30,2007Q1,Special Needs,18
04/09/2012 14:30,2007Q1,"Taxes, fees and charges",12
04/09/2012 14:30,2007Q1,Ticketing / refund,66
04/09/2012 14:30,2007Q1,TOTAL,1464
