Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2008Q3,Baggage Allowance,40
04/09/2012 14:30,2008Q3,Cancellations,639
04/09/2012 14:30,2008Q3,Check-in problems,15
04/09/2012 14:30,2008Q3,Delays,249
04/09/2012 14:30,2008Q3,Denied Boarding,95
04/09/2012 14:30,2008Q3,Diverted Flight,50
04/09/2012 14:30,2008Q3,Documents,14
04/09/2012 14:30,2008Q3,Fares,8
04/09/2012 14:30,2008Q3,Ground Services,17
04/09/2012 14:30,2008Q3,In-flight Services,46
04/09/2012 14:30,2008Q3,Mishandled baggage,129
04/09/2012 14:30,2008Q3,Missed connections,39
04/09/2012 14:30,2008Q3,Missed departure,38
04/09/2012 14:30,2008Q3,Other,48
04/09/2012 14:30,2008Q3,Reservation Issues,143
04/09/2012 14:30,2008Q3,Schedule Changes,44
04/09/2012 14:30,2008Q3,Seating,28
04/09/2012 14:30,2008Q3,Security,9
04/09/2012 14:30,2008Q3,Special Needs,28
04/09/2012 14:30,2008Q3,"Taxes, fees and charges",28
04/09/2012 14:30,2008Q3,Ticketing / refund,72
04/09/2012 14:30,2008Q3,TOTAL,1779
