run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
"04/09/2012 14:30","2009Q2","01/04/2009","24/09/2008","Monarch Airlines Limited","Missed departure"
"04/09/2012 14:30","2009Q2","01/04/2009","28/02/2009","British Airways plc","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","19/12/2008","South African Airways","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","16/12/2008","Iberia","Mishandled baggage"
"04/09/2012 14:30","2009Q2","01/04/2009","02/03/2009","British Airways plc","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","22/03/2009","Monarch Airlines Limited","Delays"
"04/09/2012 14:30","2009Q2","01/04/2009","26/03/2009","Thomas Cook Airlines","Baggage Allowance"
"04/09/2012 14:30","2009Q2","01/04/2009","22/04/2009","EasyJet","Ticketing / refund"
"04/09/2012 14:30","2009Q2","01/04/2009","04/01/2009","Air France","Mishandled baggage"
"04/09/2012 14:30","2009Q2","01/04/2009","19/09/2008","Wizz Air Hungary Airlines Ltd","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","01/02/2009","Iberia","Delays"
"04/09/2012 14:30","2009Q2","01/04/2009","","Swiss International Airlines","Mishandled baggage"
"04/09/2012 14:30","2009Q2","01/04/2009","","Ryanair","Schedule Changes"
"04/09/2012 14:30","2009Q2","01/04/2009","","EasyJet","Reservation Issues"
"04/09/2012 14:30","2009Q2","01/04/2009","07/04/2009","China Eastern Airlines","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","24/03/2009","Virgin Atlantic Airways","Cancellations"
"04/09/2012 14:30","2009Q2","01/04/2009","28/02/2009","Virgin Atlantic Airways","Delays"
"04/09/2012 14:30","2009Q2","02/04/2009","03/03/2009","BMI","Cancellations"
"04/09/2012 14:30","2009Q2","02/04/2009","04/01/2009","EasyJet","Other"
"04/09/2012 14:30","2009Q2","02/04/2009","19/03/2009","Ryanair","Cancellations"
"04/09/2012 14:30","2009Q2","02/04/2009","02/01/2009","Iberia","Cancellations"
"04/09/2012 14:30","2009Q2","02/04/2009","12/01/2008","Thomas Cook Airlines","Delays"
"04/09/2012 14:30","2009Q2","02/04/2009","14/03/2009","Adria Airways","Baggage Allowance"
"04/09/2012 14:30","2009Q2","02/04/2009","","British Airways plc","Cancellations"
"04/09/2012 14:30","2009Q2","02/04/2009","22/09/2008","Ryanair","Baggage Allowance"
"04/09/2012 14:30","2009Q2","02/04/2009","24/10/2008","Qatar Airways","Mishandled baggage"
"04/09/2012 14:30","2009Q2","02/04/2009","21/10/2008","Airblue","Delays"
"04/09/2012 14:30","2009Q2","02/04/2009","19/01/2009","Qantas Airways","Mishandled baggage"
"04/09/2012 14:30","2009Q2","02/04/2009","09/01/2009","Air France","Documents"
"04/09/2012 14:30","2009Q2","02/04/2009","22/12/2008","Air France","Missed connections"
"04/09/2012 14:30","2009Q2","03/04/2009","08/01/2009","EasyJet","Cancellations"
"04/09/2012 14:30","2009Q2","03/04/2009","06/02/2009","Wizz Air Hungary Airlines Ltd","Cancellations"
"04/09/2012 14:30","2009Q2","03/04/2009","05/03/2009","Thomson Airways","Baggage Allowance"
"04/09/2012 14:30","2009Q2","03/04/2009","05/02/2009","Ryanair","Cancellations"
"04/09/2012 14:30","2009Q2","03/04/2009","01/03/2009","Wideroe's Flyveselskap","Delays"
"04/09/2012 14:30","2009Q2","03/04/2009","04/01/2009","Air France","Mishandled baggage"
"04/09/2012 14:30","2009Q2","03/04/2009","05/02/2009","South African Airways","Mishandled baggage"
"04/09/2012 14:30","2009Q2","03/04/2009","06/02/2009","Thomas Cook Airlines","Delays"
"04/09/2012 14:30","2009Q2","03/04/2009","16/12/2008","Virgin Atlantic Airways","Missed connections"
"04/09/2012 14:30","2009Q2","03/04/2009","07/03/2009","Emirates","Reservation Issues"
"04/09/2012 14:30","2009Q2","03/04/2009","20/12/2008","KLM Royal Dutch Airlines","Denied Boarding"
"04/09/2012 14:30","2009Q2","03/04/2009","23/12/2008","Alitalia","Cancellations"
"04/09/2012 14:30","2009Q2","03/04/2009","29/03/2009","Alitalia","Reservation Issues"
"04/09/2012 14:30","2009Q2","03/04/2009","28/11/2008","Ryanair","Mishandled baggage"
"04/09/2012 14:30","2009Q2","06/04/2009","","Vueling Airlines","Delays"
"04/09/2012 14:30","2009Q2","06/04/2009","24/01/2009","Air Comet","Mishandled baggage"
"04/09/2012 14:30","2009Q2","06/04/2009","02/03/2009","Ryanair","Denied Boarding"
"04/09/2012 14:30","2009Q2","06/04/2009","08/12/2009","Ryanair","Cancellations"
"04/09/2012 14:30","2009Q2","06/04/2009","23/12/2005","bmi baby","Mishandled baggage"
"04/09/2012 14:30","2009Q2","06/04/2009","29/01/2009","Etihad Airways","Diverted Flight"
"04/09/2012 14:30","2009Q2","06/04/2009","13/02/2009","Airport","Security"
"04/09/2012 14:30","2009Q2","06/04/2009","28/03/2009","Ryanair","Missed departure"
"04/09/2012 14:30","2009Q2","06/04/2009","26/05/2007","Lufthansa German Airlines","Cancellations"
"04/09/2012 14:30","2009Q2","06/04/2009","09/07/2008","Air Jamaica","Mishandled baggage"
"04/09/2012 14:30","2009Q2","06/04/2009","05/02/2009","EasyJet","Delays"
"04/09/2012 14:30","2009Q2","06/04/2009","15/03/2009","Ryanair","Delays"
"04/09/2012 14:30","2009Q2","06/04/2009","15/02/2009","Lufthansa German Airlines","Cancellations"
"04/09/2012 14:30","2009Q2","06/04/2009","23/11/2008","British Airways plc","Missed departure"
"04/09/2012 14:30","2009Q2","06/04/2009","11/01/2009","Air Canada","Cancellations"
"04/09/2012 14:30","2009Q2","06/04/2009","06/04/2009","British Airways plc","Cancellations"
"04/09/2012 14:30","2009Q2","06/04/2009","04/11/2008","Spanair","Delays"
