Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2009Q2,Baggage Allowance,55
04/09/2012 14:30,2009Q2,Cancellations,349
04/09/2012 14:30,2009Q2,Check-in problems,27
04/09/2012 14:30,2009Q2,Delays,128
04/09/2012 14:30,2009Q2,Denied Boarding,68
04/09/2012 14:30,2009Q2,Diverted Flight,20
04/09/2012 14:30,2009Q2,Documents,15
04/09/2012 14:30,2009Q2,Fares,11
04/09/2012 14:30,2009Q2,Ground Services,7
04/09/2012 14:30,2009Q2,In-flight Services,28
04/09/2012 14:30,2009Q2,Mishandled baggage,124
04/09/2012 14:30,2009Q2,Missed connections,32
04/09/2012 14:30,2009Q2,Missed departure,47
04/09/2012 14:30,2009Q2,Other,28
04/09/2012 14:30,2009Q2,Reservation Issues,85
04/09/2012 14:30,2009Q2,Schedule Changes,42
04/09/2012 14:30,2009Q2,Seating,12
04/09/2012 14:30,2009Q2,Security,13
04/09/2012 14:30,2009Q2,Special Needs,9
04/09/2012 14:30,2009Q2,"Taxes, fees and charges",27
04/09/2012 14:30,2009Q2,Ticketing / refund,58
04/09/2012 14:30,2009Q2,TOTAL,1185
