run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
"04/09/2012 14:30","2010Q3","01/07/2010","09/04/2010","TAM Linhas Aéreas, S.A.","Denied Boarding"
"04/09/2012 14:30","2010Q3","01/07/2010","25/04/2010","Ryanair","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","16/04/2010","Cyprus Airways","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","13/06/2010","Jet2","Other"
"04/09/2012 14:30","2010Q3","01/07/2010","23/06/2010","Thomas Cook Airlines","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","21/04/2010","bmi baby","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","08/05/2010","Ryanair","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","27/03/2010","EasyJet","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","18/06/2010","Lufthansa German Airlines","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","17/04/2010","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","12/05/2010","Thomson Airways","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","16/04/2010","Ryanair","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","16/04/2010","Wizz Air Hungary Airlines Ltd","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","01/06/2010","Jet Airways India Ltd","Missed departure"
"04/09/2012 14:30","2010Q3","01/07/2010","29/03/2010","TAP - Air Portugal","Documents"
"04/09/2012 14:30","2010Q3","01/07/2010","","Flybe","Fares"
"04/09/2012 14:30","2010Q3","01/07/2010","18/12/2009","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","13/06/2010","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","15/04/2010","Air France","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","","Virgin Atlantic Airways","Reservation Issues"
"04/09/2012 14:30","2010Q3","01/07/2010","19/12/2009","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","","EasyJet","Denied Boarding"
"04/09/2012 14:30","2010Q3","01/07/2010","14/06/2010","Air France","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","21/04/2010","bmi baby","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","20/06/2010","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","04/06/2010","Thomson Airways","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","","British Airways plc","Ticketing / refund"
"04/09/2012 14:30","2010Q3","01/07/2010","26/06/2010","Viking Airlines","Delays"
"04/09/2012 14:30","2010Q3","01/07/2010","05/02/2010","Continental Airlines","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","","Ryanair","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","08/05/2010","EasyJet","Denied Boarding"
"04/09/2012 14:30","2010Q3","01/07/2010","25/06/2010","EasyJet","Cancellations"
"04/09/2012 14:30","2010Q3","01/07/2010","26/06/2010","British Airways plc","Cancellations"
