Run_Date,Quarter,Complaint Reason,Nr of Complaints
04/09/2012 14:30,2010Q4,Baggage Allowance,52
04/09/2012 14:30,2010Q4,Cancellations,1148
04/09/2012 14:30,2010Q4,Check-in problems,24
04/09/2012 14:30,2010Q4,Delays,382
04/09/2012 14:30,2010Q4,Denied Boarding,62
04/09/2012 14:30,2010Q4,Diverted Flight,30
04/09/2012 14:30,2010Q4,Documents,10
04/09/2012 14:30,2010Q4,Fares,5
04/09/2012 14:30,2010Q4,Ground Services,8
04/09/2012 14:30,2010Q4,In-flight Services,33
04/09/2012 14:30,2010Q4,Mishandled baggage,124
04/09/2012 14:30,2010Q4,Missed connections,34
04/09/2012 14:30,2010Q4,Missed departure,46
04/09/2012 14:30,2010Q4,Other,44
04/09/2012 14:30,2010Q4,Reservation Issues,55
04/09/2012 14:30,2010Q4,Schedule Changes,20
04/09/2012 14:30,2010Q4,Seating,18
04/09/2012 14:30,2010Q4,Security,5
04/09/2012 14:30,2010Q4,Special Needs,11
04/09/2012 14:30,2010Q4,"Taxes, fees and charges",7
04/09/2012 14:30,2010Q4,Ticketing / refund,41
04/09/2012 14:30,2010Q4,TOTAL,2159
