run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
22/02/2013 11:30,2012Q4,01-Oct-12,26-Aug-12,Thomas Cook Airlines,Delays
22/02/2013 11:30,2012Q4,01-Oct-12,05-Feb-12,KLM Royal Dutch Airlines,Cancellations
22/02/2013 11:30,2012Q4,01-Oct-12,26-Aug-12,British Airways plc,Missed connections
22/02/2013 11:30,2012Q4,01-Oct-12,13-Aug-12,British Airways plc,Delays
22/02/2013 11:30,2012Q4,01-Oct-12,15-Sep-12,Alitalia,Documents
22/02/2013 11:30,2012Q4,01-Oct-12,24-Sep-12,British Airways plc,Missed departure
22/02/2013 11:30,2012Q4,01-Oct-12,23-Sep-12,Pakistan International Airlines,Seating
22/02/2013 11:30,2012Q4,01-Oct-12,09-Aug-12,Virgin Atlantic Airways,Cancellations
22/02/2013 11:30,2012Q4,01-Oct-12,20-Sep-12,Ryanair,Baggage Allowance
22/02/2013 11:30,2012Q4,01-Oct-12,13-Aug-12,Qatar Airways,Mishandled baggage
22/02/2013 11:30,2012Q4,01-Oct-12,01-Oct-12,Ryanair,Reservation Issues
22/02/2013 11:30,2012Q4,01-Oct-12,01-Sep-12,LOT Polish Airlines,Cancellations
22/02/2013 11:30,2012Q4,01-Oct-12,09-Jun-12,Monarch Airlines Limited,Delays
22/02/2013 11:30,2012Q4,01-Oct-12,28-Aug-12,Air Transat,Seating
22/02/2013 11:30,2012Q4,01-Oct-12,11-Jul-12,Monarch Airlines Limited,Delays
22/02/2013 11:30,2012Q4,01-Oct-12,16-Dec-12,British Airways plc,Reservation Issues
22/02/2013 11:30,2012Q4,01-Oct-12,01-Sep-12,Air Italy,Mishandled baggage
22/02/2013 11:30,2012Q4,01-Oct-12,,Virgin Atlantic Airways,In-flight Services
22/02/2013 11:30,2012Q4,01-Oct-12,02-Jul-05,British Airways plc,Ticketing / refund
22/02/2013 11:30,2012Q4,01-Oct-12,03-Aug-12,EasyJet,Missed departure
